Abul Hasan,Mohammad Abul Hasan,05-08-1992,Bangladesh,"Kulaura, Sylhet, Bangladesh",Bangladesh,Bangladesh,Left-hand bat,Right-arm medium-fast
Abzal Dean,Abzal S Dean,23-02-1983,Trinidad and Tobago,"San Fernando, Trinidad",Canada,Canada,Left-hand bat,Off-break
Adam Bacher,Adam Marc Bacher,29-10-1973,South Africa,"Johannesburg, Transvaal, South Africa",South Africa,South Africa,Right-hand bat,Right-arm medium
Adam Dale,Adam Craig Dale,30-12-1968,Australia,"Ivanhoe, Victoria, Australia",Australia,Australia,Left-hand bat,Right-arm fast-medium
Adam Dibble,Adam John Dibble,09-03-1991,England,"Exeter, Devon, England",,Somerset,Right-hand bat,Right-arm medium-fast
Adam Gilchrist,Adam Craig Gilchrist,14-11-1971,Australia,"Bellingen, New South Wales, Australia",Australia,"Australia, ICC World XI, Deccan Chargers, Kings XI Punjab",Left-hand bat,Off-break
Adam Hollioake,Adam John Hollioake,05-09-1971,Australia,"Melbourne, Victoria, Australia",England,England,Right-hand bat,Right-arm medium
Adam Huckle,Adam George Huckle,21-09-1971,Zimbabwe,"Bulawayo, Zimbabwe",Zimbabwe,Zimbabwe,Right-hand bat,Leg-break googly
Adam Lyth,Adam Lyth,25-09-1987,England,"Whitby, Yorkshire, England",England,"Yorkshire,
England",Left-hand bat,Off-break
Adam Milne,Adam Fraser Milne,13-04-1992,New Zealand,"Palmerston North, Manawatu, New Zealand",New Zealand,"Central Districts,
New Zealand, Royal Challengers Bangalore",Right-hand bat,Right-arm fast
Adam Parore,Adam Craig Parore,23-01-1971,New Zealand,"Auckland, New Zealand",New Zealand,New Zealand,Right-hand bat,
Adam Sanford,Adam Sanford,12-07-1975,Dominica,Dominica,West Indies,West Indies,Right-hand bat,Right-arm fast-medium
Adam Voges,Adam Charles Voges,04-10-1979,Australia,"Subiaco, Western Australia, Australia",Australia,"Australia, Rajasthan Royals, Perth Scorchers",Right-hand bat,Slow left-arm
Adeel Raja,Mohammad Adeel Khalid Raja,15-08-1980,Pakistan,"Lahore, Punjab, Pakistan",Netherlands,Netherlands,Right-hand bat,Off-break
Adil Rashid,Adil Usman Rashid,17-02-1988,England,"Bradford, Yorkshire, England",England,"South Australia, Yorkshire,
England",Right-hand bat,Leg-break googly
Adnan Akmal,Adnan Akmal,13-03-1985,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,
Adrian Barath,Adrian Boris Barath,14-04-1990,Trinidad and Tobago,"Chaguanas, Trinidad",West Indies,"Trinidad and Tobago, West Indies, Kings XI Punjab",Right-hand bat,Off-break
Adrian Griffith,Adrian Frank Gordon Griffith,19-11-1971,Barbados,"Holders Hill, St James, Barbados",West Indies,West Indies,Left-hand bat,Right-arm medium
Adrian Kuiper,Adrian Paul Kuiper,24-08-1959,South Africa,"Johannesburg, Transvaal, South Africa",South Africa,South Africa,Right-hand bat,"Right-arm medium, Off-break"
Afaq Hussain,Afaq Hussain,31-12-1939,India,"Lucknow, Uttar Pradesh, India",Pakistan,Pakistan,Right-hand bat,Off-break
Affie Jarvis,Arthur Harwood Jarvis,19-10-1860,Australia,"Hindmarsh, Adelaide, South Australia, Australia",Australia,Australia,Right-hand bat,
Afsar Zazai,Afsar Khan Zazai,10-08-1993,Afghanistan,"Kabul, Afghanistan",Afghanistan,Afghanistan,Right-hand bat,
Aftab Ahmed,Aftab Ahmed Chowdhury,10-11-1985,Bangladesh,"Chittagong, Bangladesh",Bangladesh,Bangladesh,Right-hand bat,Right-arm medium
Aftab Alam,Aftab Alam,30-11-1992,Pakistan,"Kacha Gari, Peshawar, North-West Frontier Province, Pakistan",Afghanistan,Afghanistan,Right-hand bat,Right-arm medium-fast
Aftab Baloch,Aftab Baloch,01-04-1953,Pakistan,"Karachi, Sind, Pakistan",Pakistan,Pakistan,Right-hand bat,Off-break
Aftab Gul,Aftab Gul Khan,31-03-1946,India,"Gujar Khan, Punjab (now in Pakistan), India",Pakistan,Pakistan,Right-hand bat,Leg-break
Aftab Habib,Aftab Habib,07-02-1972,England,"Reading, Berkshire, England",England,England,Right-hand bat,Right-arm medium-fast
Aftab Shamshudeen,Aftabobeen Shamshudeen,09-07-1977,Guyana,"New Amsterdam, Guyana",Canada,Canada,Right-hand bat,Off-break
Afzaal Haider,Mohammad Afzaal Haider,12-12-1971,Pakistan,"Lahore, Punjab, Pakistan",Hong Kong,Hong Kong,Right-hand bat,Right-arm medium
Agha Saadat Ali,Agha Saadat Ali,21-06-1929,India,"Lahore, Punjab (now in Pakistan), India",Pakistan,Pakistan,Right-hand bat,
Agha Zahid,Agha Zahid,07-01-1953,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,Right-arm medium
Ahmed Kamal,Shaker Ahmed Kamal,15-06-1977,Bangladesh,"Kotpara, Kushtia, Bangladesh",Bangladesh,Bangladesh,Right-hand bat,Right-arm fast-medium
Ahmed Raza,Ahmed Raza,10-10-1988,United Arab Emirates,"Sharjah, United Arab Emirates",United Arab Emirates,United Arab Emirates,Left-hand bat,Slow left-arm
Ahmed Shah,Ahmed Shah Ahmedzi,20-10-1983,Afghanistan,"Paktika, Afghanistan",Afghanistan,Afghanistan,Left-hand bat,Slow left-arm
Ahmed Shehzad,Ahmed Shehzad,23-11-1991,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,"Pakistan, Lahore Lions",Right-hand bat,Leg-break
Ahsan Malik,Malik Ahsan Ahmad Jamil,29-08-1989,Netherlands,"Rotterdam, Netherlands",Netherlands,Netherlands,Right-hand bat,Right-arm medium-fast
Aiden Blizzard,Aiden Craig Blizzard,27-06-1984,Australia,"Shepparton, Victoria, Australia",India,"Victoria, Mumbai Indians, Hobart Hurricanes",Left-hand bat,Left-arm medium
Aijaz Ali,Aijaz Ali,20-06-1968,Pakistan,"Karachi, Sind, Pakistan",United States of America,United States of America,Right-hand bat,Right-arm medium-fast
Aizaz Cheema,Aizaz Bin Ilyas Cheema,05-09-1979,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,"Pakistan, Lahore Lions",Right-hand bat,Right-arm medium-fast
Aizaz Khan,Mohammad Aizaz Khan,21-03-1993,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Right-hand bat,Right-arm medium-fast
Ajantha Mendis,Balapuwaduge Ajantha Winslo Mendis,11-03-1985,Sri Lanka,"Moratuwa, Sri Lanka",Sri Lanka,"Sri Lanka, Wayamba, Kandurata, Kolkata Knight Riders, Pune Warriors",Right-hand bat,Right-arm slow
Ajay Jadeja,Ajaysinhji Daulatsinhji Jadeja,01-02-1971,India,"Jamnagar, Gujarat, India",India,India,Right-hand bat,Right-arm medium
Ajay Ratra,Ajay Ratra,13-12-1981,India,"Faridabad, Haryana, India",India,India,Right-hand bat,Right-arm
Ajay Sharma,Ajay Kumar Sharma,03-04-1964,India,"Delhi, India",India,India,Right-hand bat,Slow left-arm
Ajinkya Rahane,Ajinkya Madhukar Rahane,06-06-1988,India,"Ashwi Khurd, Maharashtra, India",India,"India, Rajasthan Royals, Mumbai Indians, Rising Pune Supergiants, Rising Pune Supergiant",Right-hand bat,Right-arm medium
Ajit Agarkar,Ajit Bhalchandra Agarkar,04-12-1977,India,"Bombay (now Mumbai), Maharashtra, India",India,"India, Delhi Daredevils, Kolkata Knight Riders",Right-hand bat,Right-arm fast-medium
Ajit de Silva,Ginigalgodage Ramba Ajit de Silva,12-12-1952,Sri Lanka,"Ambalangoda, Sri Lanka",Sri Lanka,Sri Lanka,Left-hand bat,Slow left-arm
Ajit Pai,Ajit Manohar Pai,28-04-1945,India,"Bombay (now Mumbai), Maharashtra, India",India,India,Left-hand bat,Right-arm fast-medium
Ajit Wadekar,Ajit Laxman Wadekar,01-04-1941,India,"Bombay (now Mumbai), Maharashtra, India",India,India,Left-hand bat,"Left-arm medium, Slow left-arm"
Ajith Weerakkody,Ajith Priyantha Weerakkody,01-10-1970,Sri Lanka,"Colombo, Sri Lanka",Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Ajmal Shahzad,Ajmal Shahzad,27-07-1985,England,"Huddersfield, Yorkshire, England",England,England,Right-hand bat,Right-arm fast-medium
AK Sengupta,Apoorva Kumar Sengupta,03-08-1939,India,"Lucknow, Uttar Pradesh, India",India,India,Right-hand bat,Leg-break googly
Akalanka Ganegama,Withanaarchchige Chamara Akalanka Ganegama,29-03-1981,Sri Lanka,"Colombo, Sri Lanka",Sri Lanka,Sri Lanka,Right-hand bat,Right-arm fast-medium
Akhtar Sarfraz,Akhtar Sarfraz,20-02-1976,Pakistan,"Peshawar, North-West Frontier Province, Pakistan",Pakistan,Pakistan,Left-hand bat,Left-arm medium
Akila Dananjaya,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,04-10-1993,Sri Lanka,"Panadura, Sri Lanka",Sri Lanka,Sri Lanka,Left-hand bat,Off-break
Akram Khan,Mohammad Akram Hussain Khan,01-11-1968,Pakistan,"Chittagong (now in Bangladesh), Pakistan",Bangladesh,Bangladesh,Right-hand bat,Right-arm medium
Akram Raza,Mohammad Akram Raza,22-11-1964,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,Off-break
Akshar Patel,Akshar Rajeshbhai Patel,20-01-1994,India,"Anand, Gujarat, India",India,"India, Kings XI Punjab",Left-hand bat,Slow left-arm
Al Sahariar,Mohammad Al Sahariar,23-04-1978,Bangladesh,"Dhaka, Bangladesh",Bangladesh,Bangladesh,Right-hand bat,Leg-break
Al-Amin Hossain,Mohammad Al-Amin Hossain,01-01-1990,Bangladesh,"Jhinaidah, Khulna, Bangladesh",Bangladesh,Bangladesh,Right-hand bat,Right-arm medium-fast
Alamgir Kabir,Mohammad Alamgir Kabir,10-01-1981,Bangladesh,"Nababganj, Dhaka, Bangladesh",Bangladesh,Bangladesh,Right-hand bat,Right-arm medium-fast
Alan Brown,Alan Brown,17-10-1935,England,"Rainworth, Nottinghamshire, England",England,England,Right-hand bat,Right-arm fast-medium
Alan Butcher,Alan Raymond Butcher,07-01-1954,England,"Croydon, Surrey, England",England,England,Left-hand bat,"Left-arm medium, Slow left-arm"
Alan Connolly,Alan Norman Connolly,29-06-1939,Australia,"Skipton, Victoria, Australia",Australia,Australia,Right-hand bat,Right-arm fast-medium
Alan Davidson,Alan Keith Davidson,14-06-1929,Australia,"Lisarow, Gosford, New South Wales, Australia",Australia,Australia,Left-hand bat,Left-arm fast-medium
Alan Dawson,Alan Charles Dawson,27-11-1969,South Africa,"Cape Town, Cape Province, South Africa",South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Alan Fairfax,Alan George Fairfax,16-06-1906,Australia,"Summer Hill, Sydney, New South Wales, Australia",Australia,Australia,Right-hand bat,Right-arm fast-medium
Alan Hurst,Alan George Hurst,15-07-1950,Australia,"Altona, Melbourne, Victoria, Australia",Australia,Australia,Right-hand bat,Right-arm fast
Alan Igglesden,Alan Paul Igglesden,08-10-1964,England,"Farnborough, Kent, England",England,England,Right-hand bat,Right-arm fast-medium
Alan Kippax,Alan Falconer Kippax,25-05-1897,Australia,"Paddington, Sydney, New South Wales, Australia",Australia,Australia,Right-hand bat,Leg-break
Alan Knott,Alan Philip Eric Knott,09-04-1946,England,"Belvedere, Kent, England",England,England,Right-hand bat,Off-break
Alan Melville,Alan Melville,19-05-1910,South Africa,"Carnarvon, Cape Province, South Africa",South Africa,South Africa,Right-hand bat,"Leg-break googly, Off-break"
Alan Moss,Alan Edward Moss,14-11-1930,England,"Tottenham, Middlesex, England",England,England,Right-hand bat,Right-arm fast-medium
Alan Mullally,Alan David Mullally,12-07-1969,England,"Southend-on-Sea, Essex, England",England,England,Right-hand bat,Left-arm fast-medium
Alan Oakman,Alan Stanley Myles Oakman,20-04-1930,England,"Hastings, Sussex, England",England,England,Right-hand bat,Off-break
Alan Smith,Alan Christopher Smith,25-10-1936,England,"Hall Green, Birmingham, Warwickshire, England",England,England,Right-hand bat,Right-arm fast-medium
Alan Thomson,Alan Lloyd Thomson,02-12-1945,Australia,"Reservoir, Victoria, Australia",Australia,Australia,Right-hand bat,Right-arm fast-medium
Alan Turner,Alan Turner,23-07-1950,Australia,"Camperdown, Sydney, New South Wales, Australia",Australia,Australia,Left-hand bat,
Alan Ward,Alan Ward,10-08-1947,England,"Dronfield, Derbyshire, England",England,England,Right-hand bat,Right-arm fast
Alan Wells,Alan Peter Wells,02-10-1961,England,"Newhaven, Sussex, England",England,England,Right-hand bat,Right-arm medium
Alan Wharton,Alan Wharton,30-04-1923,England,"Heywood, Lancashire, England",England,England,Left-hand bat,Right-arm medium
Alasdair Evans,Alasdair Campbell Evans,12-01-1989,England,"Tunbridge Wells, Kent, England",Scotland,Scotland,Right-hand bat,Right-arm medium-fast
Alastair Cook,Alastair Nathan Cook,25-12-1984,England,"Gloucester, England",England,England,Left-hand bat,Off-break
Alawi Shukri,Alawi Shukri Al Braik,23-01-1990,United Arab Emirates,"Dubai, United Arab Emirates",United Arab Emirates,United Arab Emirates,Left-hand bat,Off-break
Albert Hartkopf,Albert Ernst Victor Hartkopf,28-12-1889,Australia,"North Fitzroy, Melbourne, Victoria, Australia",Australia,Australia,Right-hand bat,Leg-break
Albert Hornby,Albert Neilson Hornby,10-02-1847,England,"Brook House, Blackburn, Lancashire, England",England,England,Right-hand bat,"Right-arm, Left-arm"
Albert Knight,Albert Ernest Knight,08-10-1872,England,"Leicester, England",England,England,Right-hand bat,
Albert Padmore,Albert Leroy Padmore,17-12-1946,Barbados,"Halls Village, St James, Barbados",West Indies,West Indies,Right-hand bat,Off-break
Albert Powell,Albert William Powell,18-07-1873,South Africa,"Kimberley, Cape Province, South Africa",South Africa,South Africa,Right-hand bat,Right-arm
Albert Relf,Albert Edward Relf,26-06-1874,England,"Burwash, Sussex, England",England,England,Right-hand bat,"Right-arm medium, Off-break"
Albert Rose-Innes,Albert Rose-Innes,16-02-1868,South Africa,"Port Elizabeth, Cape Province, South Africa",South Africa,South Africa,Right-hand bat,Slow left-arm
Albert Trott,Albert Edwin Trott,06-02-1873,Australia,"Abbotsford, Melbourne, Victoria, Australia",England,"Australia,
England",Right-hand bat,"Right-arm fast-medium, Right-arm medium, Off-break"
Albert van der Merwe,Albert van der Merwe,01-06-1979,South Africa,"Bellville, Cape Town, Cape Province, South Africa",Ireland,Ireland,Right-hand bat,Off-break
Albert Ward,Albert Ward,21-11-1865,England,"Waterloo, Leeds, Yorkshire, England",England,England,Right-hand bat,Right-arm slow
Albie Morkel,Johannes Albertus Morkel,10-06-1981,South Africa,"Vereeniging, Transvaal, South Africa",South Africa,"South Africa, African XI, Royal Challengers Bangalore, Chennai Super Kings, Delhi Daredevils, Rising Pune Supergiants",Left-hand bat,Right-arm medium-fast
Alby Roberts,Albert William Roberts,20-08-1909,New Zealand,"Christchurch, Canterbury, New Zealand",New Zealand,New Zealand,Right-hand bat,Right-arm medium
Alec Bannerman,Alexander Chalmers Bannerman,21-03-1854,Australia,"Paddington, Sydney, New South Wales, Australia",Australia,Australia,Right-hand bat,Right-arm medium roundarm
Alec Bedser,Alec Victor Bedser,04-07-1918,England,"Reading, Berkshire, England",England,England,Right-hand bat,Right-arm medium-fast
Alec Coxon,Alexander Coxon,18-01-1916,England,"Huddersfield, Yorkshire, England",England,England,Right-hand bat,Right-arm medium-fast
Alec Davies,Alec George Davies,14-08-1962,Pakistan,"Rawalpindi, Punjab, Pakistan",Scotland,Scotland,Right-hand bat,
Alec Hearne,Alec Hearne,22-07-1863,England,"Ealing, Middlesex, England",England,England,Right-hand bat,Right-arm slow
Alec Hurwood,Alexander Hurwood,17-06-1902,Australia,"Kangaroo Point, Brisbane, Queensland, Australia",Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Alec Stewart,Alec James Stewart,08-04-1963,England,"Merton, Surrey, England",England,England,Right-hand bat,Right-arm medium
Alester Maregwede,Alester Maregwede,05-08-1981,Zimbabwe,"Harare, Zimbabwe",Zimbabwe,Zimbabwe,Right-hand bat,
Alex Cusack,Alex Richard Cusack,29-10-1980,Australia,"Brisbane, Queensland, Australia",Ireland,Ireland,Right-hand bat,Right-arm medium
Alex Doolan,Alexander James Doolan,29-11-1985,Australia,"Launceston, Tasmania, Australia",Australia,Australia,Right-hand bat,Right-arm medium
Alex French,Alexander Niall French,01-12-1980,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Right-hand bat,Off-break
Alex Hales,Alexander Daniel Hales,03-01-1989,England,"Hillingdon, Middlesex, England",England,England,Right-hand bat,Right-arm medium
Alex Kennedy,Alexander Stuart Kennedy,24-01-1891,Scotland,"Edinburgh, Midlothian, Scotland",England,England,Right-hand bat,Right-arm medium
Alex Loudon,Alexander Guy Rushworth Loudon,06-09-1980,England,"Westminster, Middlesex, England",England,England,Right-hand bat,Off-break
Alex Moir,Alexander McKenzie Moir,17-07-1919,New Zealand,"Dunedin, Otago, New Zealand",New Zealand,New Zealand,Right-hand bat,Leg-break googly
Alex Obanda,Alex Obanda Auma,25-12-1987,Kenya,"Nairobi, Kenya",Kenya,Kenya,Right-hand bat,Right-arm medium-fast
Alex Tait,Alex Ross Tait,13-06-1972,New Zealand,"Paparoa, Northland, New Zealand",New Zealand,New Zealand,Right-hand bat,Right-arm medium
Alex Tudor,Alex Jeremy Tudor,23-10-1977,England,"West Brompton, London, England",England,England,Right-hand bat,Right-arm fast
Alex Wharf,Alexander George Wharf,04-06-1975,England,"Bradford, Yorkshire, England",England,England,Right-hand bat,Right-arm medium-fast
Alexander Webbe,Alexander Josiah Webbe,16-01-1855,England,"Bethnal Green, Middlesex, England",England,England,Right-hand bat,Right-arm fast
Alexei Kervezee,Alexei Nicolaas Kervezee,11-09-1989,Namibia,"Walvis Bay, Namibia",Netherlands,Netherlands,Right-hand bat,Off-break
Alf Gover,Alfred Richard Gover,29-02-1908,England,"Woodcote, Epsom, Surrey, England",England,England,Right-hand bat,Right-arm fast
Alf Hall,Alfred Ewart Hall,23-01-1896,England,"Bolton, Lancashire, England",South Africa,South Africa,Left-hand bat,Left-arm fast-medium
Alfonso Thomas,Alfonso Clive Thomas,09-02-1977,South Africa,"Cape Town, Cape Province, South Africa",South Africa,"Somerset,
South Africa, Titans, Pune Warriors",Right-hand bat,Right-arm fast-medium
Alfred Archer,Alfred German Archer,06-12-1871,England,"Richmond, Surrey, England",England,England,Right-hand bat,
Alfred Binns,Alfred Phillip Binns,24-07-1929,Jamaica,"Kingston, Jamaica",West Indies,West Indies,Right-hand bat,
Alfred Cooper,Alfred Henry Cecil Cooper,02-09-1893,South Africa,"Johannesburg, Transvaal, South Africa",South Africa,South Africa,Right-hand bat,Right-arm medium
Alfred Dipper,Alfred Ernest Dipper,09-11-1885,England,"Apperley, Gloucestershire, England",England,England,Right-hand bat,Right-arm medium
Alfred Luseno,Alfred Luseno Sorongo,20-12-1981,Kenya,"Kakemaga, Kenya",Kenya,Kenya,Right-hand bat,Right-arm medium
Alfred Lyttelton,Alfred Lyttelton,07-02-1857,England,"Westminster, Middlesex, England",England,England,Right-hand bat,Right arm underarm
Alfred Richards,Alfred Renfrew Richards,14-12-1867,South Africa,"Grahamstown, Cape Colony, South Africa",South Africa,South Africa,Right-hand bat,
Alfred Scott,Alfred Homer Patrick Scott,29-07-1934,Jamaica,"Spanish Town, St Catherine, Jamaica",West Indies,West Indies,Right-hand bat,Leg-break
Alfred Shaw,Alfred Shaw,29-08-1842,England,"Burton Joyce, Nottinghamshire, England",England,England,Right-hand bat,"Right-arm medium, Right-arm slow-medium"
Alfred Valentine,Alfred Louis Valentine,28-04-1930,Jamaica,"Kingston, Jamaica",West Indies,West Indies,Right-hand bat,Slow left-arm
Algy Gehrs,Donald Raeburn Algernon Gehrs,29-11-1880,Australia,"Port Victor, South Australia, Australia",Australia,Australia,Right-hand bat,Leg-break
Ali Asad,Ali Asad Abbas,06-12-1976,Pakistan,"Lahore, Punjab, Pakistan",United Arab Emirates,United Arab Emirates,Right-hand bat,Right-arm fast-medium
Ali Bacher,Aron Bacher,24-05-1942,South Africa,"Johannesburg, Transvaal, South Africa",South Africa,South Africa,Right-hand bat,Leg-break
Ali Naqvi,Syed Ali Urooj Naqvi,19-03-1977,Pakistan,"Lahore, Punjab, Pakistan",Pakistan,Pakistan,Right-hand bat,Off-break
Ali Rizvi,Syed Ali Hussain Rizvi,06-01-1974,Pakistan,"Karachi, Sind, Pakistan",Pakistan,Pakistan,Right-hand bat,Leg-break
Ali Shah,Ali Hassimshah Omarshah,07-08-1959,Zimbabwe,"Salisbury (now Harare), Zimbabwe",Zimbabwe,Zimbabwe,Left-hand bat,Right-arm medium
Alimuddin,Alimuddin,15-12-1930,India,"Ajmer, Rajasthan, India",Pakistan,Pakistan,Right-hand bat,Leg-break
Alistair Brown,Alistair Duncan Brown,11-02-1970,England,"Beckenham, Kent, England",England,England,Right-hand bat,Off-break
Alistair Campbell,Alistair Douglas Ross Campbell,23-09-1972,Zimbabwe,"Salisbury (now Harare), Zimbabwe",Zimbabwe,Zimbabwe,Left-hand bat,Off-break
Allan Border,Allan Robert Border,27-07-1955,Australia,"Cremorne, Sydney, New South Wales, Australia",Australia,Australia,Left-hand bat,Slow left-arm
Allan Donald,Allan Anthony Donald,20-10-1966,South Africa,"Bloemfontein, Orange Free State, South Africa",South Africa,South Africa,Right-hand bat,Right-arm fast
Allan Lamb,Allan Joseph Lamb,20-06-1954,South Africa,"Langebaanweg, Cape Province, South Africa",England,England,Right-hand bat,Right-arm medium
Allan Rae,Allan Fitzroy Rae,30-09-1922,Jamaica,"Rollington Town, Kingston, Jamaica",West Indies,West Indies,Left-hand bat,
Allan Steel,Allan Gibson Steel,24-09-1858,England,"West Derby, Liverpool, Lancashire, England",England,England,Right-hand bat,"Right-arm slow-medium, Right-arm fast-medium"
Allan Watkins,Albert John Watkins,21-04-1922,England,"Usk, Monmouthshire, England",England,England,Left-hand bat,Left-arm medium-fast
Allen Hill,Allen Hill,15-11-1843,England,"Kirkheaton, Huddersfield, Yorkshire, England",England,England,Right-hand bat,Right-arm fast roundarm
